case_id,category,search_query,expected_title,expected_type,expected_parent_title,expected_platform,expected_region,expected_release_date,expected_date_precision,expected_status,expected_alternative_title,criticality,evidence
IND-06,indie,"Chicory: A Colorful Tale","Chicory: A Colorful Tale",main_game,,PC,Worldwide,2021-06-10,day,released,,blocking,https://store.steampowered.com/search/?term=Chicory+A+Colorful+Tale
IND-07,indie,Norco,Norco,main_game,,PC,Worldwide,2022-03-24,day,released,,blocking,https://store.steampowered.com/search/?term=Norco
IND-08,indie,"Citizen Sleeper","Citizen Sleeper",main_game,,PC,Worldwide,2022-05-05,day,released,,blocking,https://store.steampowered.com/search/?term=Citizen+Sleeper
IND-09,indie,Cocoon,Cocoon,main_game,,PC,Worldwide,2023-09-29,day,released,,blocking,https://store.steampowered.com/search/?term=Cocoon
IND-10,indie,"Animal Well","Animal Well",main_game,,PC,Worldwide,2024-05-09,day,released,,blocking,https://store.steampowered.com/search/?term=Animal+Well
LEG-01,legacy_multiplatform_version,"The Elder Scrolls V: Skyrim","The Elder Scrolls V: Skyrim",main_game,,PlayStation 3,Worldwide,2011-11-11,day,released,,blocking,https://store.steampowered.com/search/?term=The+Elder+Scrolls+V+Skyrim
LEG-02,legacy_multiplatform_version,"Grand Theft Auto V","Grand Theft Auto V",main_game,,PlayStation 3,Worldwide,2013-09-17,day,released,,blocking,https://store.steampowered.com/search/?term=Grand+Theft+Auto+V
LEG-03,legacy_multiplatform_version,"Resident Evil 4","Resident Evil 4",main_game,,Nintendo GameCube,North America,2005-01-11,day,released,,blocking,https://store.steampowered.com/search/?term=Resident+Evil+4
LEG-04,legacy_multiplatform_version,"Final Fantasy VII","Final Fantasy VII",main_game,,PlayStation,Japan,1997-01-31,day,released,,blocking,https://store.steampowered.com/search/?term=Final+Fantasy+VII
LEG-05,legacy_multiplatform_version,"The Last of Us","The Last of Us",main_game,,PlayStation 3,Worldwide,2013-06-14,day,released,,blocking,https://www.playstation.com/en-us/games/the-last-of-us-part-i/
LEG-06,legacy_multiplatform_version,"Dark Souls","Dark Souls",main_game,,PlayStation 3,Japan,2011-09-22,day,released,,blocking,https://store.steampowered.com/search/?term=Dark+Souls
LEG-07,legacy_multiplatform_version,"Mass Effect","Mass Effect",main_game,,Xbox 360,North America,2007-11-20,day,released,,blocking,https://store.steampowered.com/search/?term=Mass+Effect
LEG-08,legacy_multiplatform_version,DOOM,DOOM,main_game,,PC,Worldwide,1993-12-10,day,released,,blocking,https://store.steampowered.com/search/?term=DOOM
LEG-09,legacy_multiplatform_version,"Tomb Raider","Tomb Raider",main_game,,Sega Saturn,Europe,1996-10-25,day,released,,blocking,https://store.steampowered.com/search/?term=Tomb+Raider
LEG-10,legacy_multiplatform_version,"The Witcher 3: Wild Hunt","The Witcher 3: Wild Hunt",main_game,,PC,Worldwide,2015-05-19,day,released,,blocking,https://store.steampowered.com/search/?term=The+Witcher+3+Wild+Hunt
DLC-01,dlc_expansion,"Elden Ring Shadow of the Erdtree","Elden Ring: Shadow of the Erdtree",expansion,"Elden Ring",PC,Worldwide,2024-06-21,day,released,,blocking,https://store.steampowered.com/search/?term=Elden+Ring+Shadow+of+the+Erdtree
DLC-02,dlc_expansion,"Cyberpunk 2077 Phantom Liberty","Cyberpunk 2077: Phantom Liberty",expansion,"Cyberpunk 2077",PC,Worldwide,2023-09-26,day,released,,blocking,https://store.steampowered.com/search/?term=Cyberpunk+2077+Phantom+Liberty
DLC-03,dlc_expansion,"The Witcher 3 Blood and Wine","The Witcher 3: Wild Hunt - Blood and Wine",expansion,"The Witcher 3: Wild Hunt",PC,Worldwide,2016-05-31,day,released,,blocking,https://store.steampowered.com/search/?term=The+Witcher+3+Blood+and+Wine
DLC-04,dlc_expansion,"Monster Hunter World Iceborne","Monster Hunter World: Iceborne",expansion,"Monster Hunter: World",PlayStation 4,Worldwide,2019-09-06,day,released,,blocking,https://store.steampowered.com/search/?term=Monster+Hunter+World+Iceborne
DLC-05,dlc_expansion,"Outer Wilds Echoes of the Eye","Outer Wilds: Echoes of the Eye",expansion,"Outer Wilds",PC,Worldwide,2021-09-28,day,released,,blocking,https://store.steampowered.com/search/?term=Outer+Wilds+Echoes+of+the+Eye
DATE-01,delayed_imprecise,"Final Fantasy VII Revelation","Final Fantasy VII Revelation",main_game,,PlayStation 5,Worldwide,2027,year,announced,,blocking,https://blog.playstation.com/2026/06/05/summer-game-fest-2026-highlights-16-games-coming-to-ps5/
DATE-02,delayed_imprecise,"Gundam Rogue Orbit","Gundam Rogue Orbit",main_game,,PlayStation 5,Worldwide,2027,year,announced,,blocking,https://blog.playstation.com/2026/06/05/summer-game-fest-2026-highlights-16-games-coming-to-ps5/
DATE-03,delayed_imprecise,Crossfire,Crossfire,main_game,,PlayStation 5,Unknown,,unknown,announced,,blocking,https://blog.playstation.com/2026/06/05/summer-game-fest-2026-highlights-16-games-coming-to-ps5/
DATE-04,delayed_imprecise,"gen Atlas","gen Atlas",main_game,,PlayStation 5,Unknown,,unknown,announced,,blocking,https://blog.playstation.com/2026/06/05/summer-game-fest-2026-highlights-16-games-coming-to-ps5/
DATE-05,delayed_imprecise,"HITMAN Classic Trilogy Remastered","HITMAN Classic Trilogy Remastered",remaster,,Xbox Series X|S,Worldwide,2027,year,announced,,blocking,https://news.xbox.com/en-us/2026/06/05/hitman-classic-trilogy-remastered-sgf-announce/
